Ranking,Name,
1,Harvard University,100,USA,,Diamond League
1,Massachusetts Institute of Technology (MIT),100,USA,,Diamond League
3,Stanford University,99.85,USA,,Diamond League
4,University of Cambridge,99.75,UK,,Diamond League
5,University of Oxford,99.6,UK,,Diamond League
5,"University of California, Berkeley",99.6,USA,,Diamond League
7,"University of California, Los Angeles",99.45,USA,,Diamond League
8,Princeton University,99.35,USA,,Diamond League
9,Yale University,99.25,USA,,Diamond League
10,California Institute of Technology (Caltech),99.1,USA,,Diamond League
11,University of Tokyo,98.999,Japan,,Diamond League
11,University of Chicago,98.999,USA,,Diamond League
13,University of Michigan,98.899,USA,,Diamond League
14,Imperial College London,98.649,UK,,Diamond League
14,Columbia University,98.649,USA,,Diamond League
16,ETH Zurich (Swiss Federal Institute of Technology),98.599,Switzerland,,Diamond League
17,National University of Singapore,98.499,Singapore,,Diamond League
18,Johns Hopkins University,98.349,USA,,Diamond League
19,University of Toronto,98.199,Canada,,Diamond League
19,University of Pennsylvania,98.199,USA,,Diamond League
21,Cornell University,98.049,USA,,Diamond League
22,Tsinghua University,97.949,China,,Diamond League
23,University College London,97.799,UK,,Diamond League
23,University of Illinois at Urbana - Champaign,97.799,USA,,Diamond League
25,University of Washington,97.599,USA,,Diamond League
26,London School of Economics and Political Science,97.574,UK,,Diamond League
27,Georgia Institute of Technology,97.274,USA,,Diamond League
28,Peking University,97.249,China,,Diamond League
29,New York University,97.229,USA,,Diamond League
30,University of Wisconsin - Madison,97.224,USA,,Diamond League
31,Kyoto University,97.099,Japan,,Diamond League
32,Lomonosov Moscow State University,96.97,Russia,,Diamond League
33,"University of California, San Diego",96.912,USA,,Diamond League
34,Carnegie Mellon University,96.775,USA,,Diamond League
35,Nanyang Technological University,96.639,Singapore,,Diamond League
36,University of British Columbia,96.548,Canada,,Diamond League
36,Northwestern University,96.548,USA,,Diamond League
38,Ecole Polytechnique Federale de Lausanne,96.502,Switzerland,,Diamond League
39,Pennsylvania State University,96.298,USA,,Diamond League
40,Purdue University,96.275,USA,,Diamond League
41,University of North Carolina at Chapel Hill,96.061,USA,,Diamond League
42,"University of California, Davis",95.998,USA,,Diamond League
43,Technical University of Munich,95.993,Germany,,Diamond League
44,University of Manchester,95.748,UK,,Diamond League
45,McGill University,95.648,Canada,,Diamond League
46,Tohoku University,95.548,Japan,,Diamond League
46,"University of Minnesota, Twin Cities",95.548,USA,,Diamond League
48,University of Hong Kong,95.523,Hong Kong,,Diamond League
49,Tokyo Institute of Technology,95.323,Japan,,Diamond League
50,Sorbonne University,95.273,France,,Diamond League
51,Ohio State University,95.048,USA,,Diamond League
52,University of Sydney,95.023,Australia,,Diamond League
53,University of Edinburgh,94.997,UK,,Diamond League
54,Washington University in St. Louis,94.872,USA,,Diamond League
55,Osaka University,94.622,Japan,,Diamond League
56,University of Sao Paulo,94.537,Brazil,,Diamond League
57,King`s College London,94.447,UK,,Diamond League
58,Hong Kong University of Science and Technology,94.404,Hong Kong,,Diamond League
59,Ludwig Maximilian University of Munich,94.297,Germany,,Diamond League
60,Katholieke Universiteit Leuven (KU Leuven),94.197,Belgium,,Diamond League
61,Karolinska Institute,94.036,Sweden,,Diamond League
62,"University of California, Santa Barbara",94.029,USA,,Diamond League
63,Wageningen University & Research Center,94.001,Netherlands,,Diamond League
64,Korea Advanced Institute of Science and Technology (KAIST),93.99,Republic of Korea,,Diamond League
65,Michigan State University,93.938,USA,,Diamond League
66,Monash University,93.661,Australia,,Diamond League
67,University of Pittsburgh,93.548,USA,,Diamond League
68,University of Southern California,93.478,USA,,Diamond League
69,Australian National University,93.338,Australia,,Diamond League
70,University of Florida,93.274,USA,,Diamond League
71,Boston University,93.099,USA,,Diamond League
72,Humboldt University of Berlin,92.916,Germany,,Diamond League
73,University of Queensland Australia,92.896,Australia,,Diamond League
74,Indiana University,92.894,USA,,Diamond League
75,Middle East Technical University,92.821,Türkiye,,Diamond League
76,Utrecht University,92.783,Netherlands,,Diamond League
77,National Taiwan University,92.696,Taiwan,,Diamond League
78,Texas A&M University,92.544,USA,,Diamond League
79,Brown University,92.396,USA,,Diamond League
80,Emory University,92.321,USA,,Diamond League
81,"University of Colorado, Boulder",92.046,USA,,Diamond League
82,University of New South Wales,91.996,Australia,,Diamond League
83,"University of Maryland, College Park",91.901,USA,,Diamond League
84,Yonsei University,91.821,Republic of Korea,,Diamond League
85,RWTH Aachen University,91.771,Germany,,Diamond League
86,Arizona State University,91.746,USA,,Diamond League
87,Technical University of Berlin,91.621,Germany,,Diamond League
87,Chinese University of Hong Kong,91.621,Hong Kong,,Diamond League
89,Nagoya University,91.546,Japan,,Diamond League
90,Sungkyunkwan University,91.357,Republic of Korea,,Diamond League
91,Royal Institute of Technology (KTH),91.351,Sweden,,Diamond League
92,Moscow Institute of Physics and Technology,91.146,Russia,,Diamond League
93,University of Zurich,90.909,Switzerland,,Diamond League
94,Karlsruhe Institute of Technology,90.886,Germany,,Diamond League
95,Shanghai Jiao Tong University,90.636,China,,Diamond League
96,Indian Institute of Science,90.635,India,,Diamond League
97,Polytechnic University of Milan,90.52,Italy,,Diamond League
98,University of Arizona,90.495,USA,,Diamond League
99,Free University of Berlin,90.478,Germany,,Diamond League
100,Vanderbilt University,90.265,USA,,Diamond League
101,Saint Petersburg State University,90.17,Russia,,Golden League
102,Lund University,90.102,Sweden,,Golden League
103,"University of California, Irvine",90.1,USA,,Golden League
104,Sapienza University of Rome,90.025,Italy,,Golden League
105,Virginia Polytechnic Institute and State University,89.94,USA,,Golden League
106,Ghent University,89.591,Belgium,,Golden League
107,University of Sheffield,89.42,UK,,Golden League
108,State University of Campinas (Unicamp),89.245,Brazil,,Golden League
109,University of Malaya,89.193,Malaysia,,Golden League
110,Rutgers the State University of New Jersey,89.136,USA,,Golden League
111,University of Tehran,88.951,Iran,,Golden League
112,University of Bristol,88.919,UK,,Golden League
113,University of Illinois at Chicago,88.894,USA,,Golden League
114,Ruprecht Karl University of Heidelberg,88.844,Germany,,Golden League
115,National Autonomous University of Mexico,88.653,Mexico,,Golden League
116,North Carolina State University,88.619,USA,,Golden League
117,University of Warwick,88.599,UK,,Golden League
118,Hokkaido University,88.54,Japan,,Golden League
119,Zhejiang University,88.334,China,,Golden League
120,University of Reading,88.303,UK,,Golden League
121,University of Waterloo,88.294,Canada,,Golden League
122,Financial University under the Government of the Russian Federation,88.189,Russia,,Golden League
123,Fudan University,88.153,China,,Golden League
124,Technical University of Denmark,88.119,Denmark,,Golden League
125,Erasmus University Rotterdam,88.035,Netherlands,,Golden League
126,University of Helsinki,87.894,Finland,,Golden League
127,"Indian Institute of Technology, Madras",87.803,India,,Golden League
128,Bogazici University,87.703,Türkiye,,Golden League
129,University of Barcelona,87.644,Spain,,Golden League
130,University of Glasgow,87.499,UK,,Golden League
131,University of Georgia,87.444,USA,,Golden League
132,University of Iowa,87.248,USA,,Golden League
133,University of Gottingen,87.109,Germany,,Golden League
134,Technion Israel Institute of Technology,87.083,Israel,,Golden League
135,University of Birmingham,87.054,UK,,Golden League
136,University of Bonn,87.019,Germany,,Golden League
137,Rice University,86.952,USA,,Golden League
138,"Indian Institute of Technology, Delhi",86.468,India,,Golden League
139,Hong Kong Polytechnic University,86.386,Hong Kong,,Golden League
140,City University of Hong Kong,86.143,Hong Kong,,Golden League
141,Keio University,86.088,Japan,,Golden League
142,McMaster University,86.068,Canada,,Golden League
143,Universite de Montreal,86.043,Canada,,Golden League
144,Complutense University of Madrid,86.042,Spain,,Golden League
145,Hebrew University of Jerusalem,85.952,Israel,,Golden League
146,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),85.859,Russia,,Golden League
147,Aalto University,85.768,Finland,,Golden League
147,Oxford Brookes University,85.768,UK,,Golden League
149,Istanbul Technical University,85.718,Türkiye,,Golden League
150,University of Groningen,85.443,Netherlands,,Golden League
150,Durham University,85.443,UK,,Golden League
152,Colorado School of Mines,85.39,USA,,Golden League
152,Georgetown University,85.39,USA,,Golden League
154,University of Southampton,85.207,UK,,Golden League
155,University of Science and Technology of China,84.992,China,,Golden League
156,Autonomous University of Barcelona,84.742,Spain,,Golden League
157,Lancaster University,84.611,UK,,Golden League
158,Universite de Paris,84.404,France,,Golden League
159,Hacettepe University,84.202,Türkiye,,Golden League
162,Tel Aviv University,84.192,Israel,,Golden League
162,University of Tsukuba,84.192,Japan,,Golden League
162,Pohang University of Science and Technology (POSTECH),84.192,Republic of Korea,,Golden League
162,Bauman Moscow State Technical University,84.192,Russia,,Golden League
164,Universiti Kebangsaan Malaysia,83.987,Malaysia,,Golden League
165,Waseda University,83.892,Japan,,Golden League
166,Chalmers University of Technology,83.815,Sweden,,Golden League
167,University of Cape Town,83.742,South Africa,,Golden League
168,University of Liverpool,83.731,UK,,Golden League
169,University of Auckland,83.726,New Zealand,,Golden League
170,Rockefeller University,83.715,USA,,Golden League
171,Aarhus University,83.572,Denmark,,Golden League
172,Bilkent University,83.385,Türkiye,,Golden League
173,University of Freiburg,83.292,Germany,,Golden League
174,Tongji University,83.186,China,,Golden League
175,Newcastle University,83.117,UK,,Golden League
176,"University of California, Riverside",83.042,USA,,Golden League
177,Colorado State University,82.991,USA,,Golden League
178,Norwegian University of Science and Technology,82.85,Norway,,Golden League
179,Harbin Institute of Technology,82.534,China,,Golden League
180,Charles University in Prague,82.405,Czech Republic,,Golden League
181,University of Notre Dame,82.207,USA,,Golden League
182,Technische Universitat Dresden (TU Dresden),82.091,Germany,,Golden League
183,Nanjing University,81.656,China,,Golden League
184,Beijing Normal University,81.47,China,,Golden League
184,Trinity College Dublin,81.47,Ireland,,Golden League
187,Polytechnic University of Turin,81.167,Italy,,Golden League
187,Case Western Reserve University,81.167,USA,,Golden League
187,Tufts University,81.167,USA,,Golden League
189,University of Western Australia,81.126,Australia,,Golden League
190,Tomsk State University,81.01,Russia,,Golden League
191,"Indian Institute of Technology, Kanpur",80.949,India,,Golden League
192,Universiti Sains Malaysia,80.941,Malaysia,,Golden League
192,Cardiff University,80.941,UK,,Golden League
194,School of Oriental and African Studies (SOAS University),80.888,UK,,Golden League
195,ITMO University,80.825,Russia,,Golden League
195,National Tsing Hua University,80.825,Taiwan,,Golden League
197,University of Geneva,80.526,Switzerland,,Golden League
197,University of St. Andrews,80.526,UK,,Golden League
199,RMIT University,80.313,Australia,,Golden League
200,University of Gothenburg,80.297,Sweden,,Golden League
201,Oregon State University,79.915,USA,,Silver League
202,University of Calgary,79.842,Canada,,Silver League
203,Loughborough University,79.833,UK,,Silver League
204,University of Utah,79.739,USA,,Silver League
205,George Washington University,79.693,USA,,Silver League
206,Syracuse University,79.624,USA,,Silver League
207,Queensland University of Technology,79.615,Australia,,Silver League
208,"University of California, Santa Cruz",79.6,USA,,Silver League
209,University of Rochester,79.563,USA,,Silver League
210,Curtin University,79.558,Australia,,Silver League
210,Koc University,79.558,Türkiye,,Silver League
212,Technical University of Darmstadt,79.541,Germany,,Silver League
213,Autonomous University of Madrid,79.437,Spain,,Silver League
214,Weizmann Institute of Science,79.313,Israel,,Silver League
214,Queen Mary University of London,79.313,UK,,Silver League
216,National Taras Shevchenko University of Kyiv,79.152,Ukraine,,Silver League
217,Dartmouth College,79.097,USA,,Silver League
218,University Catholique de Louvain,79.095,Belgium,,Silver League
219,Aalborg University,79.088,Denmark,,Silver League
220,National Yang Ming Chiao Tung University,78.614,Taiwan,,Silver League
220,University of Exeter,78.614,UK,,Silver League
222,Universiti Putra Malaysia,78.564,Malaysia,,Silver League
222,University of Lisbon,78.564,Portugal,,Silver League
225,MIREA - Russian Technological University,78.562,Russia,,Silver League
225,Cankaya University,78.562,Türkiye,,Silver League
225,Boston College,78.562,USA,,Silver League
227,University of Miami,78.49,USA,,Silver League
228,Federal University of Rio de Janeiro,78.414,Brazil,,Silver League
229,"Indian Institute of Technology, Kharagpur",78.315,India,,Silver League
230,University of Guelph,77.939,Canada,,Silver League
230,SOAS University of London,77.939,UK,,Silver League
232,Swedish University of Agricultural Sciences,77.916,Sweden,,Silver League
233,University of Bern,77.741,Switzerland,,Silver League
234,Tomsk Polytechnic University,77.712,Russia,,Silver League
235,University of Adelaide,77.637,Australia,,Silver League
235,University of York,77.637,UK,,Silver League
237,University of Hamburg,77.614,Germany,,Silver League
238,University of Sussex,77.437,UK,,Silver League
239,Peter the Great St. Petersburg Polytechnic University,77.364,Russia,,Silver League
240,University of Hawaii,77.064,USA,,Silver League
241,University of Twente,77.062,Netherlands,,Silver League
242,Universiti Teknologi Malaysia,77.039,Malaysia,,Silver League
242,Washington State University,77.039,USA,,Silver League
244,University of Delaware,76.759,USA,,Silver League
245,King Abdulaziz University,76.691,Saudi Arabia,,Silver League
246,Polytechnic University of Catalonia,76.686,Spain,,Silver League
247,Sabanci University,76.161,Türkiye,,Silver League
248,Pontificia University Catolica de Chile,76.088,Chile,,Silver League
249,Kobe University,75.724,Japan,,Silver League
249,University of Navarra,75.724,Spain,,Silver League
251,Polytechnic University of Valencia,75.438,Spain,,Silver League
252,Hiroshima University,75.423,Japan,,Silver League
252,Polytechnic University of Madrid,75.423,Spain,,Silver League
254,"State University of New York, Stony Brook",75.388,USA,,Silver League
255,Scuola Normale Superiore di Pisa,75.188,Italy,,Silver League
255,University of Bath,75.188,UK,,Silver League
258,Kazan Federal University,75.048,Russia,,Silver League
258,Mahidol University,75.048,Thailand,,Silver League
258,Ankara University,75.048,Türkiye,,Silver League
260,University of Witwatersrand,75.013,South Africa,,Silver League
261,Tokyo Medical and Dental University,74.885,Japan,,Silver League
262,Pompeu Fabra University,74.863,Spain,,Silver League
263,Wuhan University,74.649,China,,Silver League
263,University of Kansas,74.649,USA,,Silver League
265,Chulalongkorn University,74.637,Thailand,,Silver League
266,Charles III University of Madrid,74.274,Spain,,Silver League
267,University of Porto,74.06,Portugal,,Silver League
268,University of Padua,73.737,Italy,,Silver League
269,Tehran University of Medical Sciences,73.699,Iran,,Silver League
270,Queen`s University Belfast,73.312,UK,,Silver League
272,Deakin University,73.287,Australia,,Silver League
272,Johann Wolfgang Goethe University Frankfurt am Main,73.287,Germany,,Silver League
272,Politecnico di Torino,73.287,Italy,,Silver League
274,Tokyo University of Science,73.044,Japan,,Silver League
275,University of Oregon,72.748,USA,,Silver League
276,King Fahd University of Petroleum and Minerals,72.694,Saudi Arabia,,Silver League
277,University of Munster,72.586,Germany,,Silver League
278,Cairo University,72.459,Egypt,,Silver League
279,University of Central Florida,72.428,USA,,Silver League
280,University College Dublin,72.202,Ireland,,Silver League
282,National Cheng Kung University,72.144,Taiwan,,Silver League
283,University of Strathclyde,72.069,UK,,Silver League
284,Queens University,71.823,Canada,,Silver League
286,Aix Marseille University,71.761,France,,Silver League
287,Xi`an Jiaotong University,71.691,China,,Silver League
289,University of Valencia,71.626,Spain,,Silver League
289,University of Essex,71.626,UK,,Silver League
289,"State University of New York, Buffalo",71.626,USA,,Silver League
291,Northeastern University,71.463,USA,,Silver League
292,Ural Federal University,71.424,Russia,,Silver League
293,University of Chile,71.261,Chile,,Silver League
293,University of Otago,71.261,New Zealand,,Silver League
295,University of Surrey,71.235,UK,,Silver League
296,University of Texas at Dallas,70.969,USA,,Silver League
297,"State University of New York, Albany",70.793,USA,,Silver League
298,Istanbul University,70.734,Türkiye,,Silver League
299,Stellenbosch University,70.624,South Africa,,Silver League
299,University of Pretoria,70.624,South Africa,,Silver League
302,Vrije Universiteit Brussels (VUB),70.535,Belgium,,Bronze League
302,Radboud University Nijmegen,70.535,Netherlands,,Bronze League
302,University of Missouri,70.535,USA,,Bronze League
304,Southeast University,70.273,China,,Bronze League
304,University of Montpellier,70.273,France,,Bronze League
306,National University of Science and Technology MISiS,70.16,Russia,,Bronze League
306,University of Ljubljana,70.16,Slovenia,,Bronze League
308,National Taiwan Normal University,69.964,Taiwan,,Bronze League
309,University of Ottawa,69.666,Canada,,Bronze League
310,Tilburg University,69.64,Netherlands,,Bronze League
311,Macquarie University,69.635,Australia,,Bronze League
311,Central European University,69.635,Hungary,,Bronze League
313,Aristotle University of Thessaloniki,69.524,Greece,,Bronze League
314,Western University,69.275,Canada,,Bronze League
314,University of Tennessee Knoxville,69.275,USA,,Bronze League
316,University of Aberdeen,69.102,UK,,Bronze League
316,University of Connecticut,69.102,USA,,Bronze League
318,Auburn University,69.004,USA,,Bronze League
319,Sun Yat Sen University,68.794,China,,Bronze League
319,University of Wurzburg,68.794,Germany,,Bronze League
322,Universite Grenoble Alpes (UGA),68.484,France,,Bronze League
322,University of Konstanz,68.484,Germany,,Bronze League
322,University of Coimbra,68.484,Portugal,,Bronze League
324,University of Minho,68.464,Portugal,,Bronze League
325,Hanyang University,68.372,Republic of Korea,,Bronze League
326,Kursk State University,68.351,Russia,,Bronze League
328,China Agricultural University,68.313,China,,Bronze League
328,University of Erlangen Nuremberg,68.313,Germany,,Bronze League
328,University of Dundee,68.313,UK,,Bronze League
330,Beihang University,68.276,China,,Bronze League
330,Universite Paris-Sud,68.276,France,,Bronze League
332,University of South Florida,67.985,USA,,Bronze League
333,"Ecole Normale Superieure, Lyon",67.932,France,,Bronze League
334,University of Pisa,67.848,Italy,,Bronze League
335,Ben-Gurion University of the Negev,67.775,Israel,,Bronze League
336,University of Wollongong,67.697,Australia,,Bronze League
337,King Saud University,67.696,Saudi Arabia,,Bronze League
338,Hitotsubashi University,67.475,Japan,,Bronze League
338,University of Ibadan,67.475,Nigeria,,Bronze League
341,University of Cologne,67.411,Germany,,Bronze League
341,University of Seville,67.411,Spain,,Bronze League
341,Drexel University,67.411,USA,,Bronze League
343,Huazhong University of Science and Technology,67.158,China,,Bronze League
343,Novosibirsk State Technical University,67.158,Russia,,Bronze League
345,Temple University,67.006,USA,,Bronze League
346,Universite du Quebec a Montreal,66.873,Canada,,Bronze League
346,University of Hannover,66.873,Germany,,Bronze League
348,American University of Beirut,66.611,Lebanon,,Bronze League
348,University of Bergen,66.611,Norway,,Bronze League
350,University of Tartu,66.513,Estonia,,Bronze League
350,Gazi University,66.513,Türkiye,,Bronze League
352,Central South University,66.316,China,,Bronze League
352,Tulane University,66.316,USA,,Bronze League
354,University of Florence,66.096,Italy,,Bronze League
355,University of South Carolina,66.016,USA,,Bronze League
356,University of Oklahoma,65.975,USA,,Bronze League
357,York University,65.889,Canada,,Bronze League
358,Louisiana State University,65.508,USA,,Bronze League
360,University of Lausanne,65.415,Switzerland,,Bronze League
360,"Royal Holloway, University of London",65.415,UK,,Bronze League
360,University of Houston,65.415,USA,,Bronze League
363,Lobachevsky University,64.625,Russia,,Bronze League
366,University of Manitoba,64.605,Canada,,Bronze League
366,University of Oulu,64.605,Finland,,Bronze League
366,University of Bordeaux,64.605,France,,Bronze League
366,Babes-Bolyai University,64.605,Romania,,Bronze League
366,University of New Mexico,64.605,USA,,Bronze League
369,Medical University of Vienna,64.516,Austria,,Bronze League
369,Bielefeld University,64.516,Germany,,Bronze League
371,University of Antwerp,64.494,Belgium,,Bronze League
372,Beijing Institute of Technology,63.708,China,,Bronze League
372,Masaryk University,63.708,Czech Republic,,Bronze League
375,Laval University,63.653,Canada,,Bronze League
375,University of Zagreb,63.653,Croatia,,Bronze League
375,Rensselaer Polytechnic Institute,63.653,USA,,Bronze League
377,University of Turin,63.411,Italy,,Bronze League
377,Umea University,63.411,Sweden,,Bronze League
379,"RANEPA, The Russian Presidential Academy of National Economy and Public Administration",62.969,Russia,,Bronze League
380,RUDN University,62.844,Russia,,Bronze League
380,George Mason University,62.844,USA,,Bronze League
382,Brno University of Technology,62.628,Czech Republic,,Bronze League
383,University of Canterbury,62.39,New Zealand,,Bronze League
385,Renmin University of China,62.256,China,,Bronze League
385,Brunel University,62.256,UK,,Bronze League
385,University of Westminster,62.256,UK,,Bronze League
387,Iran University of Science & Technology,62.237,Iran,,Bronze League
387,Monterrey Institute of Technology and Higher Education,62.237,Mexico,,Bronze League
391,University of Aveiro,62.106,Portugal,,Bronze League
391,Mendeleev University,62.106,Russia,,Bronze League
391,Goldsmiths College,62.106,UK,,Bronze League
391,Texas Tech University,62.106,USA,,Bronze League
394,Simon Fraser University,61.488,Canada,,Bronze League
394,Shanghai University,61.488,China,,Bronze League
394,University of Jyvaskyla,61.488,Finland,,Bronze League
396,Victoria University of Wellington,61.396,New Zealand,,Bronze League
397,University of Saskatchewan,61.393,Canada,,Bronze League
398,University of South Australia,61.082,Australia,,Bronze League
398,University of Tasmania,61.082,Australia,,Bronze League
400,Wake Forest University,60.786,USA,,Bronze League
401,University of Western Sydney,60.59,Australia,,Copper League
402,University de Lorraine,60.587,France,,Copper League
402,University of Nebraska,60.587,USA,,Copper League
404,University of Qatar,60.368,Qatar,,Copper League
405,University of Turku,60.254,Finland,,Copper League
406,University of the Ryukyus,59.945,Japan,,Copper League
407,Saint-Petersburg State Electrotechnical University ``LETI``,59.849,Russia,,Copper League
407,Heriot-Watt University,59.849,UK,,Copper League
409,Massey University,59.727,New Zealand,,Copper League
409,University of KwaZulu Natal,59.727,South Africa,,Copper League
413,University of Bremen,59.723,Germany,,Copper League
413,University of Trieste,59.723,Italy,,Copper League
413,Tokai University,59.723,Japan,,Copper League
413,University of Bucharest,59.723,Romania,,Copper League
413,Russian State University for the Humanities,59.723,Russia,,Copper League
416,Isfahan University of Technology,59.639,Iran,,Copper League
417,Concordia University,59.137,Canada,,Copper League
418,Xiamen University,59.136,China,,Copper League
418,University of Nova de Lisboa,59.136,Portugal,,Copper League
421,Eotvos Lorand University,58.702,Hungary,,Copper League
421,Okayama University,58.702,Japan,,Copper League
421,University of Stirling,58.702,UK,,Copper League
423,University of Innsbruck,58.492,Austria,,Copper League
424,East China Normal University,58.398,China,,Copper League
425,Moscow Aviation Institute,57.685,Russia,,Copper League
428,University of Rome III,57.47,Italy,,Copper League
428,Moscow Pedagogical State University,57.47,Russia,,Copper League
428,Sheffield Hallam University,57.47,UK,,Copper League
428,University of East Anglia,57.47,UK,,Copper League
428,Oklahoma State University,57.47,USA,,Copper League
432,Shahid Beheshti University,57.468,Iran,,Copper League
432,Novosibirsk State University of Economics and Management,57.468,Russia,,Copper League
432,Florida International University,57.468,USA,,Copper League
434,La Trobe University,57.397,Australia,,Copper League
435,Sichuan University,57.163,China,,Copper League
437,University of Sofia,57.04,Bulgaria,,Copper League
437,University of Santiago de Compostela,57.04,Spain,,Copper League
437,University of Plymouth,57.04,UK,,Copper League
439,Lehigh University,56.633,USA,,Copper League
439,The New School,56.633,USA,,Copper League
441,Dalian University of Technology,56.499,China,,Copper League
441,Tokyo Metropolitan University,56.499,Japan,,Copper League
444,University of Genoa,56.235,Italy,,Copper League
444,Kent State University,56.235,USA,,Copper League
444,Northern Arizona University,56.235,USA,,Copper League
446,"Birkbeck, University of London",56.138,UK,,Copper League
446,University of Alabama Birmingham,56.138,USA,,Copper League
451,James Cook University,56.019,Australia,,Copper League
451,South China University of Technology,56.019,China,,Copper League
451,Yokohama National University,56.019,Japan,,Copper League
451,Auckland University of Technology,56.019,New Zealand,,Copper League
451,University Politechica of Bucharest,56.019,Romania,,Copper League
451,Chernivtsi National University,56.019,Ukraine,,Copper League
451,San Diego State University,56.019,USA,,Copper League
455,University of Victoria,55.92,Canada,,Copper League
456,"Northwest University, Xi`an",55.275,China,,Copper League
460,Jilin University,54.905,China,,Copper League
460,University of Eastern Finland,54.905,Finland,,Copper League
460,University of Limerick,54.905,Ireland,,Copper League
460,Kyung Hee University,54.905,Republic of Korea,,Copper League
460,University of Peradeniya,54.905,Sri Lanka,,Copper League
460,National Central University,54.905,Taiwan,,Copper League
460,National Taiwan University of Science and Technology,54.905,Taiwan,,Copper League
466,Beijing Jiaotong University,54.784,China,,Copper League
466,Hong Kong Baptist University,54.784,Hong Kong,,Copper League
466,Sechenov University,54.784,Russia,,Copper League
466,Karadeniz Technical University,54.784,Türkiye,,Copper League
466,Chiang Mai University,54.784,Thailand,,Copper League
469,University of Texas at San Antonio,54.583,USA,,Copper League
470,Universite Libre de Bruxelles,54.254,Belgium,,Copper League
471,University of Ulm,53.87,Germany,,Copper League
472,University of Salamanca,53.455,Spain,,Copper League
473,Universita Cattolica del Sacro Cuore,53.379,Italy,,Copper League
473,Swansea University,53.379,UK,,Copper League
475,Flinders University,53.225,Australia,,Copper League
475,Federal University of Vicosa,53.225,Brazil,,Copper League
477,William & Mary,53.107,USA,,Copper League
478,American University in Cairo,53.02,Egypt,,Copper League
478,University of Johannesburg,53.02,South Africa,,Copper League
480,National Taipei University,52.204,Taiwan,,Copper League
483,University of Canberra,51.928,Australia,,Copper League
483,University College Cork,51.928,Ireland,,Copper League
483,Bar-Ilan University,51.928,Israel,,Copper League
483,Comenius University Bratislava,51.928,Slovakia,,Copper League
485,Manchester Metropolitan University,51.799,UK,,Copper League
489,Swinburne University of Technology,51.69,Australia,,Copper League
489,Osaka City University,51.69,Japan,,Copper League
489,European University at St. Petersburg,51.69,Russia,,Copper League
489,University of Zaragoza,51.69,Spain,,Copper League
489,Coventry University,51.69,UK,,Copper League
489,St George`s University of London,51.69,UK,,Copper League
489,University of Texas at Arlington,51.69,USA,,Copper League
493,Samara University,51.619,Russia,,Copper League
493,Saratov State University,51.619,Russia,,Copper League
498,Belarusian State University,50.969,Belarus,,Copper League
498,Gifu University,50.969,Japan,,Copper League
498,Universiti Teknologi Petronas,50.969,Malaysia,,Copper League
498,University of St. Gallen,50.969,Switzerland,,Copper League
498,Kasetsart University,50.969,Thailand,,Copper League
498,Yeditepe University,50.969,Türkiye,,Copper League
498,Makerere University,50.969,Uganda,,Copper League
502,Harbin Engineering University,50.774,China,,World League
503,Nankai University,50.168,China,,World League
503,Lappeenranta University of Technology,50.168,Finland,,World League
509,Manipal Academy of Higher Education,50.163,India,,World League
509,University of Hyderabad,50.163,India,,World League
509,University of Palermo,50.163,Italy,,World League
509,Chiba University,50.163,Japan,,World League
509,Far Eastern Federal University,50.163,Russia,,World League
509,Irkutsk State University,50.163,Russia,,World League
509,University of Hull,50.163,UK,,World League
509,American University,50.163,USA,,World League
513,Aberystwyth University,49.685,UK,,World League
513,Miami University,49.685,USA,,World League
517,Fluminense Federal University,49.64,Brazil,,World League
517,Jiangnan University,49.64,China,,World League
517,Kumamoto University,49.64,Japan,,World League
517,University of Arkansas,49.64,USA,,World League
519,Ain Shams University,48.45,Egypt,,World League
519,National Chung Hsing University,48.45,Taiwan,,World League
524,China Medical University (Taiwan),48.403,China,,World League
524,Riga Technical University,48.403,Latvia,,World League
524,Orel State University,48.403,Russia,,World League
524,Tomsk State University of Control Systems and Radioelectronics (TUSUR University),48.403,Russia,,World League
524,National Sun Yat-Sen University,48.403,Taiwan,,World League
524,King Mongkut`s University of Technology Thonburi,48.403,Thailand,,World League
